d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,256,0.0,0,0.0,0.0,6134,23.9609375,1.6640625,37.59223601351872,1.0,426.0,8.145571064609124,184.01365929805831,2085.2661925399357
4,256,0.0,1,0.0,0.0,6051,23.63671875,2.91796875,37.10401749978058,1.0,747.0,14.186466286513204,180.39086037327615,3631.73536934738
4,256,0.0,2,0.0,0.0,5026,19.6328125,-1.0078125,31.79303090246106,1.0,-258.0,-4.465509320009428,140.8715170791071,-1143.1703859224135
4,256,0.0,3,0.0,0.0,5268,20.578125,-0.796875,26.317727917401513,1.0,-204.0,-3.6148734878626043,119.38542043532078,-925.4076128928267
4,256,0.0,4,0.0,0.0,5644,22.046875,4.4140625,37.69211774026625,1.0,1130.0,20.725833171115266,176.97994628548923,5305.813291805508
4,256,0.0,5,0.0,0.0,5645,22.05078125,3.6484375,34.89024976707094,1.0,934.0,17.132427449559138,163.83853987668434,4385.901427087139
4,256,0.0,6,0.0,0.0,4929,19.25390625,0.2734375,29.770270101791045,1.0,70.0,1.1998238791921554,130.62978178972955,307.1549130731918
4,256,0.0,7,0.0,0.0,5027,19.63671875,1.140625,32.56921340943583,1.0,292.0,5.054490051658229,144.32505439414987,1293.9494532245067
4,256,0.0,8,0.0,0.0,5968,23.3125,8.12890625,34.142551924668886,1.0,2081.0,39.24881413363086,164.85055102452063,10047.6964182095
4,256,0.0,9,0.0,0.0,5717,22.33203125,-0.60546875,34.19002232147229,0.0,-155.0,-2.8612502676620792,161.57103156634435,-732.4800685214923
